time,X
0.11616161616161613,1.0072551390568316
0.3686868686868685,1.079806529625151
0.6111111111111108,1.2176541717049574
0.8434343434343433,1.3845223700120917
1.0555555555555554,1.5731559854897217
1.3686868686868685,1.8851269649334945
1.6010101010101008,2.1390568319226118
1.8131313131313127,2.3857315598548974
1.9949494949494944,2.6106408706166864
2.1868686868686864,2.8500604594921404
2.368686868686868,3.0967351874244256
2.53030303030303,3.321644498186215
2.681818181818181,3.5247883917775087
2.8333333333333326,3.7496977025392986
2.9343434343434334,3.9020556227327687
3.0050505050505043,3.9891172914147517

